;GRUPO;Jerarquía; Q Varones; Q Mujeres
;Instituto Superior de la Seguridad Pública;Senior (A/B/C/D/E);15;15
;Instituto Superior de la Seguridad Pública;Auxiliar Administrativo ( 1°/2°/3°/4°/5°);25;21
;Instituto Superior de la Seguridad Pública;Profesor Titular;4;1
;Instituto Superior de la Seguridad Pública;Profesor Asociado;0;2
;Instituto Superior de la Seguridad Pública;Investigador/ Investigador Senior;5;3
;Instituto Superior de la Seguridad Pública;Jefe de Trabajos Prácticos;0;2
;Instituto Superior de la Seguridad Pública;Profesor Adjunto (A/B/C/D/E/F/G/H);14;14
;Instituto Superior de la Seguridad Pública;Profesor Auxiliar;1;0
;Instituto Superior de la Seguridad Pública;Cadete;563;712
;Instituto Superior de la Seguridad Pública;Cadete externo;540;367
;Jefatura Policia de la Ciudad - Bombero;Bombero Calificado;340;133
;Jefatura Policia de la Ciudad - Bombero;Bombero Superior;213;58
;Jefatura Policia de la Ciudad - Bombero;Capitán;20;0
;Jefatura Policia de la Ciudad - Bombero;Comandante;6;1
;Jefatura Policia de la Ciudad - Bombero;Comandante General;3;0
;Jefatura Policia de la Ciudad - Bombero;Comisario;308;39
;Jefatura Policia de la Ciudad - Bombero;Comisario Inspector;95;14
;Jefatura Policia de la Ciudad - Bombero;Inspector;123;4
;Jefatura Policia de la Ciudad - Bombero;Comandante Director;4;1
;Jefatura Policia de la Ciudad - Bombero;Jefe del Cuerpo de Bomberos;1;0
;Jefatura Policia de la Ciudad - Bombero;Oficial;184;68
;Jefatura Policia de la Ciudad - Bombero;Oficial Mayor;168;26
;Jefatura Policia de la Ciudad - Bombero;Oficial Primero;188;23
;Jefatura Policia de la Ciudad - Bombero;Principal;27;1
;Jefatura Policia de la Ciudad - Bombero;Subcomandante;7;1
;Jefatura Policia de la Ciudad - Bombero;Subcomisario;21;2
;Jefatura Policia de la Ciudad - Bombero;Subteniente;139;26
;Jefatura Policia de la Ciudad - Bombero;Teniente;61;0
;Jefatura Policia de la Ciudad - Civil;Nivel A;21;9
;Jefatura Policia de la Ciudad - Civil;Nivel B;31;17
;Jefatura Policia de la Ciudad - Civil;Nivel C;26;41
;Jefatura Policia de la Ciudad - Civil;Nivel D;50;46
;Jefatura Policia de la Ciudad - Civil;Nivel E;94;124
;Jefatura Policia de la Ciudad - Civil;Nivel F;55;99
;Jefatura Policia de la Ciudad - Civil;Nivel G;168;307
;Jefatura Policia de la Ciudad - Civil;Nivel H;176;382
;Jefatura Policia de la Ciudad - Civil;Nivel I;137;307
;Jefatura Policia de la Ciudad - Civil;Nivel J;190;303
;Jefatura Policia de la Ciudad - Oficial;Comisario;297;39
;Jefatura Policia de la Ciudad - Oficial;Comisario General;18;1
;Jefatura Policia de la Ciudad - Oficial;Comisario Inspector;94;14
;Jefatura Policia de la Ciudad - Oficial;Comisario Mayor;41;4
;Jefatura Policia de la Ciudad - Oficial;Inspector;2.270;509
;Jefatura Policia de la Ciudad - Oficial;Jefe;1;0
;Jefatura Policia de la Ciudad - Oficial;Oficial;6.456;5.099
;Jefatura Policia de la Ciudad - Oficial;Oficial 3º GAOS;1;0
;Jefatura Policia de la Ciudad - Oficial;Oficial Ayudante;0;1
;Jefatura Policia de la Ciudad - Oficial;Oficial Mayor;3.348;1.026
;Jefatura Policia de la Ciudad - Oficial;Oficial Primero;4.598;1.269
;Jefatura Policia de la Ciudad - Oficial;Principal;749;158
;Jefatura Policia de la Ciudad - Oficial;Subcomisario;509;111
;Jefatura Policia de la Ciudad - Oficial;Subjefe;1;0
